ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.00192,2.00192,0), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
O27   0.79700  0.25000  0.50000 -0.0530 -0.8478  0.0000 
O59   0.82825  0.75000  0.50000 -0.0124 -0.1989  0.0000 
O29   0.85950  0.25000  0.50000  0.0625  1.0000  0.0000 
O61   0.89075  0.75000  0.50000 -0.0354 -0.5665  0.0000 
O31   0.92200  0.25000  0.50000 -0.0354 -0.5665  0.0000 
O63   0.95325  0.75000  0.50000  0.0625  1.0000  0.0000 
O1    0.98450  0.25000  0.50000 -0.0124 -0.1989  0.0000 
O33   0.01574  0.75000  0.50000 -0.0530 -0.8478  0.0000 
O3    0.04700  0.25000  0.50000  0.0530  0.8478  0.0000 
O35   0.07824  0.75000  0.50000  0.0124  0.1989  0.0000 
O5    0.10949  0.25000  0.50000 -0.0625 -1.0000  0.0000 
O85   0.15637  0.00000  0.00000  0.0000  0.0000  0.0000 
O71   0.18762  0.50000  0.00000  0.0000  0.0000  0.0000 
O87   0.21887  0.00000  0.00000  0.0000  0.0000  0.0000 
O73   0.25012  0.50000  0.00000  0.0000  0.0000  0.0000 
O89   0.28137  0.00000  0.00000  0.0000  0.0000  0.0000 
O75   0.31262  0.50000  0.00000  0.0000  0.0000  0.0000 
O91   0.34387  0.00000  0.00000  0.0000  0.0000  0.0000 
O77   0.37512  0.50000  0.00000  0.0000  0.0000  0.0000 
O93   0.40637  0.00000  0.00000  0.0000  0.0000  0.0000 
O79   0.43762  0.50000  0.00000  0.0000  0.0000  0.0000 
O95   0.46887  0.00000  0.00000  0.0000  0.0000  0.0000 
O66   0.50012  0.50000  0.00000  0.0000  0.0000  0.0000 
O82   0.53137  0.00000  0.00000  0.0000  0.0000  0.0000 
O68   0.56262  0.50000  0.00000  0.0000  0.0000  0.0000 
O84   0.59387  0.00000  0.00000  0.0000  0.0000  0.0000 
O70   0.62512  0.50000  0.00000  0.0000  0.0000  0.0000 
O86   0.65637  0.00000  0.00000  0.0000  0.0000  0.0000 
O72   0.68762  0.50000  0.00000  0.0000  0.0000  0.0000 
O88   0.71887  0.00000  0.00000  0.0000  0.0000  0.0000 
O74   0.75012  0.50000  0.00000  0.0000  0.0000  0.0000 
O90   0.78137  0.00000  0.00000  0.0000  0.0000  0.0000 
O76   0.81262  0.50000  0.00000  0.0000  0.0000  0.0000 
O92   0.84387  0.00000  0.00000  0.0000  0.0000  0.0000 
O78   0.87512  0.50000  0.00000  0.0000  0.0000  0.0000 
O94   0.90637  0.00000  0.00000  0.0000  0.0000  0.0000 
O80   0.93762  0.50000  0.00000  0.0000  0.0000  0.0000 
O96   0.96887  0.00000  0.00000  0.0000  0.0000  0.0000 
O65   0.00012  0.50000  0.00000  0.0000  0.0000  0.0000 
O81   0.03137  0.00000  0.00000  0.0000  0.0000  0.0000 
O67   0.06262  0.50000  0.00000  0.0000  0.0000  0.0000 
O83   0.09387  0.00000  0.00000  0.0000  0.0000  0.0000 
O69   0.12512  0.50000  0.00000  0.0000  0.0000  0.0000 
O24   0.17200  0.75000  0.50000 -0.0354  0.5665  0.0000 
O56   0.20325  0.25000  0.50000  0.0625 -1.0000  0.0000 
O26   0.23450  0.75000  0.50000 -0.0124  0.1989  0.0000 
O58   0.26575  0.25000  0.50000 -0.0530  0.8478  0.0000 
O28   0.29700  0.75000  0.50000  0.0530 -0.8478  0.0000 
O60   0.32825  0.25000  0.50000  0.0124 -0.1989  0.0000 
O30   0.35950  0.75000  0.50000 -0.0625  1.0000  0.0000 
O62   0.39075  0.25000  0.50000  0.0354 -0.5665  0.0000 
O32   0.42200  0.75000  0.50000  0.0354 -0.5665  0.0000 
O64   0.45325  0.25000  0.50000 -0.0625  1.0000  0.0000 
O2    0.48450  0.75000  0.50000  0.0124 -0.1989  0.0000 
O34   0.51575  0.25000  0.50000  0.0530 -0.8478  0.0000 
O4    0.54700  0.75000  0.50000 -0.0530  0.8478  0.0000 
O36   0.57825  0.25000  0.50000 -0.0124  0.1989  0.0000 
O6    0.60950  0.75000  0.50000  0.0625 -1.0000  0.0000 
O38   0.64075  0.25000  0.50000 -0.0354  0.5665  0.0000 
O8    0.67200  0.75000  0.50000 -0.0354  0.5665  0.0000 
O40   0.70325  0.25000  0.50000  0.0625 -1.0000  0.0000 
O10   0.73450  0.75000  0.50000 -0.0124  0.1989  0.0000 
O42   0.76575  0.25000  0.50000 -0.0530  0.8478  0.0000 
O12   0.79700  0.75000  0.50000  0.0530 -0.8478  0.0000 
O44   0.82825  0.25000  0.50000  0.0124 -0.1989  0.0000 
O14   0.85950  0.75000  0.50000 -0.0625  1.0000  0.0000 
O46   0.89075  0.25000  0.50000  0.0354 -0.5665  0.0000 
O16   0.92200  0.75000  0.50000  0.0354 -0.5665  0.0000 
O48   0.95325  0.25000  0.50000 -0.0625  1.0000  0.0000 
O18   0.98450  0.75000  0.50000  0.0124 -0.1989  0.0000 
O50   0.01574  0.25000  0.50000  0.0530 -0.8478  0.0000 
O20   0.04700  0.75000  0.50000 -0.0530  0.8478  0.0000 
O52   0.07824  0.25000  0.50000 -0.0124  0.1989  0.0000 
O22   0.10949  0.75000  0.50000  0.0625 -1.0000  0.0000 
O54   0.14075  0.25000  0.50000 -0.0354  0.5665  0.0000 

Pm-3m[5/16,5/16,0]SM2(0,0;a,b;0,0;0,0;0,0;0,0)[O1:c:dsp]Eu_1(a) normfactor =  0.02211
O37   0.14075  0.75000  0.50000 -0.0530  0.8478  0.0000 
O7    0.17200  0.25000  0.50000  0.0530 -0.8478  0.0000 
O39   0.20325  0.75000  0.50000  0.0124 -0.1989  0.0000 
O9    0.23450  0.25000  0.50000 -0.0625  1.0000  0.0000 
O41   0.26575  0.75000  0.50000  0.0354 -0.5665  0.0000 
O11   0.29700  0.25000  0.50000  0.0354 -0.5665  0.0000 
O43   0.32825  0.75000  0.50000 -0.0625  1.0000  0.0000 
O13   0.35950  0.25000  0.50000  0.0124 -0.1989  0.0000 
O45   0.39075  0.75000  0.50000  0.0530 -0.8478  0.0000 
O15   0.42200  0.25000  0.50000 -0.0530  0.8478  0.0000 
O47   0.45325  0.75000  0.50000 -0.0124  0.1989  0.0000 
O17   0.48450  0.25000  0.50000  0.0625 -1.0000  0.0000 
O49   0.51575  0.75000  0.50000 -0.0354  0.5665  0.0000 
O19   0.54700  0.25000  0.50000 -0.0354  0.5665  0.0000 
O51   0.57825  0.75000  0.50000  0.0625 -1.0000  0.0000 
O21   0.60950  0.25000  0.50000 -0.0124  0.1989  0.0000 
O53   0.64075  0.75000  0.50000 -0.0530  0.8478  0.0000 
O23   0.67200  0.25000  0.50000  0.0530 -0.8478  0.0000 
O55   0.70325  0.75000  0.50000  0.0124 -0.1989  0.0000 
O25   0.73450  0.25000  0.50000 -0.0625  1.0000  0.0000 
O57   0.76575  0.75000  0.50000  0.0354 -0.5665  0.0000 
O27   0.79700  0.25000  0.50000  0.0354 -0.5665  0.0000 
O59   0.82825  0.75000  0.50000 -0.0625  1.0000  0.0000 
O29   0.85950  0.25000  0.50000  0.0124 -0.1989  0.0000 
O61   0.89075  0.75000  0.50000  0.0530 -0.8478  0.0000 
O31   0.92200  0.25000  0.50000 -0.0530  0.8478  0.0000 
O63   0.95325  0.75000  0.50000 -0.0124  0.1989  0.0000 
O1    0.98450  0.25000  0.50000  0.0625 -1.0000  0.0000 
O33   0.01574  0.75000  0.50000 -0.0354  0.5665  0.0000 
O3    0.04700  0.25000  0.50000 -0.0354  0.5665  0.0000 
O35   0.07824  0.75000  0.50000  0.0625 -1.0000  0.0000 
O5    0.10949  0.25000  0.50000 -0.0124  0.1989  0.0000 
O85   0.15637  0.00000  0.00000  0.0000  0.0000  0.0000 
O71   0.18762  0.50000  0.00000  0.0000  0.0000  0.0000 
O87   0.21887  0.00000  0.00000  0.0000  0.0000  0.0000 
O73   0.25012  0.50000  0.00000  0.0000  0.0000  0.0000 
O89   0.28137  0.00000  0.00000  0.0000  0.0000  0.0000 
O75   0.31262  0.50000  0.00000  0.0000  0.0000  0.0000 
O91   0.34387  0.00000  0.00000  0.0000  0.0000  0.0000 
O77   0.37512  0.50000  0.00000  0.0000  0.0000  0.0000 
O93   0.40637  0.00000  0.00000  0.0000  0.0000  0.0000 
O79   0.43762  0.50000  0.00000  0.0000  0.0000  0.0000 
O95   0.46887  0.00000  0.00000  0.0000  0.0000  0.0000 
O66   0.50012  0.50000  0.00000  0.0000  0.0000  0.0000 
O82   0.53137  0.00000  0.00000  0.0000  0.0000  0.0000 
O68   0.56262  0.50000  0.00000  0.0000  0.0000  0.0000 
O84   0.59387  0.00000  0.00000  0.0000  0.0000  0.0000 
O70   0.62512  0.50000  0.00000  0.0000  0.0000  0.0000 
O86   0.65637  0.00000  0.00000  0.0000  0.0000  0.0000 
O72   0.68762  0.50000  0.00000  0.0000  0.0000  0.0000 
O88   0.71887  0.00000  0.00000  0.0000  0.0000  0.0000 
O74   0.75012  0.50000  0.00000  0.0000  0.0000  0.0000 
O90   0.78137  0.00000  0.00000  0.0000  0.0000  0.0000 
O76   0.81262  0.50000  0.00000  0.0000  0.0000  0.0000 
O92   0.84387  0.00000  0.00000  0.0000  0.0000  0.0000 
O78   0.87512  0.50000  0.00000  0.0000  0.0000  0.0000 
O94   0.90637  0.00000  0.00000  0.0000  0.0000  0.0000 
O80   0.93762  0.50000  0.00000  0.0000  0.0000  0.0000 
O96   0.96887  0.00000  0.00000  0.0000  0.0000  0.0000 
O65   0.00012  0.50000  0.00000  0.0000  0.0000  0.0000 
O81   0.03137  0.00000  0.00000  0.0000  0.0000  0.0000 
O67   0.06262  0.50000  0.00000  0.0000  0.0000  0.0000 
O83   0.09387  0.00000  0.00000  0.0000  0.0000  0.0000 
O69   0.12512  0.50000  0.00000  0.0000  0.0000  0.0000 
O24   0.17200  0.75000  0.50000 -0.0530 -0.8478  0.0000 
O56   0.20325  0.25000  0.50000 -0.0124 -0.1989  0.0000 
O26   0.23450  0.75000  0.50000  0.0625  1.0000  0.0000 
O58   0.26575  0.25000  0.50000 -0.0354 -0.5665  0.0000 
O28   0.29700  0.75000  0.50000 -0.0354 -0.5665  0.0000 
O60   0.32825  0.25000  0.50000  0.0625  1.0000  0.0000 
O30   0.35950  0.75000  0.50000 -0.0124 -0.1989  0.0000 
O62   0.39075  0.25000  0.50000 -0.0530 -0.8478  0.0000 
O32   0.42200  0.75000  0.50000  0.0530  0.8478  0.0000 
O64   0.45325  0.25000  0.50000  0.0124  0.1989  0.0000 
O2    0.48450  0.75000  0.50000 -0.0625 -1.0000  0.0000 
O34   0.51575  0.25000  0.50000  0.0354  0.5665  0.0000 
O4    0.54700  0.75000  0.50000  0.0354  0.5665  0.0000 
O36   0.57825  0.25000  0.50000 -0.0625 -1.0000  0.0000 
O6    0.60950  0.75000  0.50000  0.0124  0.1989  0.0000 
O38   0.64075  0.25000  0.50000  0.0530  0.8478  0.0000 
O8    0.67200  0.75000  0.50000 -0.0530 -0.8478  0.0000 
O40   0.70325  0.25000  0.50000 -0.0124 -0.1989  0.0000 
O10   0.73450  0.75000  0.50000  0.0625  1.0000  0.0000 
O42   0.76575  0.25000  0.50000 -0.0354 -0.5665  0.0000 
O12   0.79700  0.75000  0.50000 -0.0354 -0.5665  0.0000 
O44   0.82825  0.25000  0.50000  0.0625  1.0000  0.0000 
O14   0.85950  0.75000  0.50000 -0.0124 -0.1989  0.0000 
O46   0.89075  0.25000  0.50000 -0.0530 -0.8478  0.0000 
O16   0.92200  0.75000  0.50000  0.0530  0.8478  0.0000 
O48   0.95325  0.25000  0.50000  0.0124  0.1989  0.0000 
O18   0.98450  0.75000  0.50000 -0.0625 -1.0000  0.0000 
O50   0.01574  0.25000  0.50000  0.0354  0.5665  0.0000 
O20   0.04700  0.75000  0.50000  0.0354  0.5665  0.0000 
O52   0.07824  0.25000  0.50000 -0.0625 -1.0000  0.0000 
O22   0.10949  0.75000  0.50000  0.0124  0.1989  0.0000 
O54   0.14075  0.25000  0.50000  0.0530  0.8478  0.0000 

Pm-3m[5/16,5/16,0]SM2(0,0;a,b;0,0;0,0;0,0;0,0)[O1:c:dsp]Eu_1(b) normfactor =  0.02211
O37   0.14075  0.75000  0.50000  0.0354 -0.5665  0.0000 
O7    0.17200  0.25000  0.50000  0.0354 -0.5665  0.0000 
O39   0.20325  0.75000  0.50000 -0.0625  1.0000  0.0000 
O9    0.23450  0.25000  0.50000  0.0124 -0.1989  0.0000 
O41   0.26575  0.75000  0.50000  0.0530 -0.8478  0.0000 
O11   0.29700  0.25000  0.50000 -0.0530  0.8478  0.0000 
O43   0.32825  0.75000  0.50000 -0.0124  0.1989  0.0000 
O13   0.35950  0.25000  0.50000  0.0625 -1.0000  0.0000 
O45   0.39075  0.75000  0.50000 -0.0354  0.5665  0.0000 
O15   0.42200  0.25000  0.50000 -0.0354  0.5665  0.0000 
O47   0.45325  0.75000  0.50000  0.0625 -1.0000  0.0000 
O17   0.48450  0.25000  0.50000 -0.0124  0.1989  0.0000 
O49   0.51575  0.75000  0.50000 -0.0530  0.8478  0.0000 
O19   0.54700  0.25000  0.50000  0.0530 -0.8478  0.0000 
O51   0.57825  0.75000  0.50000  0.0124 -0.1989  0.0000 
O21   0.60950  0.25000  0.50000 -0.0625  1.0000  0.0000 
O53   0.64075  0.75000  0.50000  0.0354 -0.5665  0.0000 
O23   0.67200  0.25000  0.50000  0.0354 -0.5665  0.0000 
O55   0.70325  0.75000  0.50000 -0.0625  1.0000  0.0000 
O25   0.73450  0.25000  0.50000  0.0124 -0.1989  0.0000 
O57   0.76575  0.75000  0.50000  0.0530 -0.8478  0.0000 
O27   0.79700  0.25000  0.50000 -0.0530  0.8478  0.0000 
O59   0.82825  0.75000  0.50000 -0.0124  0.1989  0.0000 
O29   0.85950  0.25000  0.50000  0.0625 -1.0000  0.0000 
O61   0.89075  0.75000  0.50000 -0.0354  0.5665  0.0000 
O31   0.92200  0.25000  0.50000 -0.0354  0.5665  0.0000 
O63   0.95325  0.75000  0.50000  0.0625 -1.0000  0.0000 
O1    0.98450  0.25000  0.50000 -0.0124  0.1989  0.0000 
O33   0.01574  0.75000  0.50000 -0.0530  0.8478  0.0000 
O3    0.04700  0.25000  0.50000  0.0530 -0.8478  0.0000 
O35   0.07824  0.75000  0.50000  0.0124 -0.1989  0.0000 
O5    0.10949  0.25000  0.50000 -0.0625  1.0000  0.0000 
O85   0.15637  0.00000  0.00000  0.0000  0.0000  0.0000 
O71   0.18762  0.50000  0.00000  0.0000  0.0000  0.0000 
O87   0.21887  0.00000  0.00000  0.0000  0.0000  0.0000 
O73   0.25012  0.50000  0.00000  0.0000  0.0000  0.0000 
O89   0.28137  0.00000  0.00000  0.0000  0.0000  0.0000 
O75   0.31262  0.50000  0.00000  0.0000  0.0000  0.0000 
O91   0.34387  0.00000  0.00000  0.0000  0.0000  0.0000 
O77   0.37512  0.50000  0.00000  0.0000  0.0000  0.0000 
O93   0.40637  0.00000  0.00000  0.0000  0.0000  0.0000 
O79   0.43762  0.50000  0.00000  0.0000  0.0000  0.0000 
O95   0.46887  0.00000  0.00000  0.0000  0.0000  0.0000 
O66   0.50012  0.50000  0.00000  0.0000  0.0000  0.0000 
O82   0.53137  0.00000  0.00000  0.0000  0.0000  0.0000 
O68   0.56262  0.50000  0.00000  0.0000  0.0000  0.0000 
O84   0.59387  0.00000  0.00000  0.0000  0.0000  0.0000 
O70   0.62512  0.50000  0.00000  0.0000  0.0000  0.0000 
O86   0.65637  0.00000  0.00000  0.0000  0.0000  0.0000 
O72   0.68762  0.50000  0.00000  0.0000  0.0000  0.0000 
O88   0.71887  0.00000  0.00000  0.0000  0.0000  0.0000 
O74   0.75012  0.50000  0.00000  0.0000  0.0000  0.0000 
O90   0.78137  0.00000  0.00000  0.0000  0.0000  0.0000 
O76   0.81262  0.50000  0.00000  0.0000  0.0000  0.0000 
O92   0.84387  0.00000  0.00000  0.0000  0.0000  0.0000 
O78   0.87512  0.50000  0.00000  0.0000  0.0000  0.0000 
O94   0.90637  0.00000  0.00000  0.0000  0.0000  0.0000 
O80   0.93762  0.50000  0.00000  0.0000  0.0000  0.0000 
O96   0.96887  0.00000  0.00000  0.0000  0.0000  0.0000 
O65   0.00012  0.50000  0.00000  0.0000  0.0000  0.0000 
O81   0.03137  0.00000  0.00000  0.0000  0.0000  0.0000 
O67   0.06262  0.50000  0.00000  0.0000  0.0000  0.0000 
O83   0.09387  0.00000  0.00000  0.0000  0.0000  0.0000 
O69   0.12512  0.50000  0.00000  0.0000  0.0000  0.0000 
O24   0.17200  0.75000  0.50000 -0.0354 -0.5665  0.0000 
O56   0.20325  0.25000  0.50000  0.0625  1.0000  0.0000 
O26   0.23450  0.75000  0.50000 -0.0124 -0.1989  0.0000 
O58   0.26575  0.25000  0.50000 -0.0530 -0.8478  0.0000 
O28   0.29700  0.75000  0.50000  0.0530  0.8478  0.0000 
O60   0.32825  0.25000  0.50000  0.0124  0.1989  0.0000 
O30   0.35950  0.75000  0.50000 -0.0625 -1.0000  0.0000 
O62   0.39075  0.25000  0.50000  0.0354  0.5665  0.0000 
O32   0.42200  0.75000  0.50000  0.0354  0.5665  0.0000 
O64   0.45325  0.25000  0.50000 -0.0625 -1.0000  0.0000 
O2    0.48450  0.75000  0.50000  0.0124  0.1989  0.0000 
O34   0.51575  0.25000  0.50000  0.0530  0.8478  0.0000 
O4    0.54700  0.75000  0.50000 -0.0530 -0.8478  0.0000 
O36   0.57825  0.25000  0.50000 -0.0124 -0.1989  0.0000 
O6    0.60950  0.75000  0.50000  0.0625  1.0000  0.0000 
O38   0.64075  0.25000  0.50000 -0.0354 -0.5665  0.0000 
O8    0.67200  0.75000  0.50000 -0.0354 -0.5665  0.0000 
O40   0.70325  0.25000  0.50000  0.0625  1.0000  0.0000 
O10   0.73450  0.75000  0.50000 -0.0124 -0.1989  0.0000 
O42   0.76575  0.25000  0.50000 -0.0530 -0.8478  0.0000 
O12   0.79700  0.75000  0.50000  0.0530  0.8478  0.0000 
O44   0.82825  0.25000  0.50000  0.0124  0.1989  0.0000 
O14   0.85950  0.75000  0.50000 -0.0625 -1.0000  0.0000 
O46   0.89075  0.25000  0.50000  0.0354  0.5665  0.0000 
O16   0.92200  0.75000  0.50000  0.0354  0.5665  0.0000 
O48   0.95325  0.25000  0.50000 -0.0625 -1.0000  0.0000 
O18   0.98450  0.75000  0.50000  0.0124  0.1989  0.0000 
O50   0.01574  0.25000  0.50000  0.0530  0.8478  0.0000 
O20   0.04700  0.75000  0.50000 -0.0530 -0.8478  0.0000 
O52   0.07824  0.25000  0.50000 -0.0124 -0.1989  0.0000 
O22   0.10949  0.75000  0.50000  0.0625  1.0000  0.0000 
O54   0.14075  0.25000  0.50000 -0.0354 -0.5665  0.0000 

Pm-3m[5/16,5/16,0]SM2(0,0;a,b;0,0;0,0;0,0;0,0)[O1:c:dsp]Eu_2(a) normfactor =  0.04509
O37   0.14075  0.75000  0.50000  0.0000  0.0000  0.0000 
O7    0.17200  0.25000  0.50000  0.0000  0.0000  0.0000 
O39   0.20325  0.75000  0.50000  0.0000  0.0000  0.0000 
O9    0.23450  0.25000  0.50000  0.0000  0.0000  0.0000 
O41   0.26575  0.75000  0.50000  0.0000  0.0000  0.0000 
O11   0.29700  0.25000  0.50000  0.0000  0.0000  0.0000 
O43   0.32825  0.75000  0.50000  0.0000  0.0000  0.0000 
O13   0.35950  0.25000  0.50000  0.0000  0.0000  0.0000 
O45   0.39075  0.75000  0.50000  0.0000  0.0000  0.0000 
O15   0.42200  0.25000  0.50000  0.0000  0.0000  0.0000 
O47   0.45325  0.75000  0.50000  0.0000  0.0000  0.0000 
O17   0.48450  0.25000  0.50000  0.0000  0.0000  0.0000 
O49   0.51575  0.75000  0.50000  0.0000  0.0000  0.0000 
O19   0.54700  0.25000  0.50000  0.0000  0.0000  0.0000 
O51   0.57825  0.75000  0.50000  0.0000  0.0000  0.0000 
O21   0.60950  0.25000  0.50000  0.0000  0.0000  0.0000 
O53   0.64075  0.75000  0.50000  0.0000  0.0000  0.0000 
O23   0.67200  0.25000  0.50000  0.0000  0.0000  0.0000 
O55   0.70325  0.75000  0.50000  0.0000  0.0000  0.0000 
O25   0.73450  0.25000  0.50000  0.0000  0.0000  0.0000 
O57   0.76575  0.75000  0.50000  0.0000  0.0000  0.0000 
O27   0.79700  0.25000  0.50000  0.0000  0.0000  0.0000 
O59   0.82825  0.75000  0.50000  0.0000  0.0000  0.0000 
O29   0.85950  0.25000  0.50000  0.0000  0.0000  0.0000 
O61   0.89075  0.75000  0.50000  0.0000  0.0000  0.0000 
O31   0.92200  0.25000  0.50000  0.0000  0.0000  0.0000 
O63   0.95325  0.75000  0.50000  0.0000  0.0000  0.0000 
O1    0.98450  0.25000  0.50000  0.0000  0.0000  0.0000 
O33   0.01574  0.75000  0.50000  0.0000  0.0000  0.0000 
O3    0.04700  0.25000  0.50000  0.0000  0.0000  0.0000 
O35   0.07824  0.75000  0.50000  0.0000  0.0000  0.0000 
O5    0.10949  0.25000  0.50000  0.0000  0.0000  0.0000 
O85   0.15637  0.00000  0.00000  0.0000  0.0000  0.0000 
O71   0.18762  0.50000  0.00000  0.0000  0.9239  0.0000 
O87   0.21887  0.00000  0.00000  0.0000 -0.7071  0.0000 
O73   0.25012  0.50000  0.00000  0.0000 -0.3827  0.0000 
O89   0.28137  0.00000  0.00000  0.0000  1.0000  0.0000 
O75   0.31262  0.50000  0.00000  0.0000 -0.3827  0.0000 
O91   0.34387  0.00000  0.00000  0.0000 -0.7071  0.0000 
O77   0.37512  0.50000  0.00000  0.0000  0.9239  0.0000 
O93   0.40637  0.00000  0.00000  0.0000  0.0000  0.0000 
O79   0.43762  0.50000  0.00000  0.0000 -0.9239  0.0000 
O95   0.46887  0.00000  0.00000  0.0000  0.7071  0.0000 
O66   0.50012  0.50000  0.00000  0.0000  0.3827  0.0000 
O82   0.53137  0.00000  0.00000  0.0000 -1.0000  0.0000 
O68   0.56262  0.50000  0.00000  0.0000  0.3827  0.0000 
O84   0.59387  0.00000  0.00000  0.0000  0.7071  0.0000 
O70   0.62512  0.50000  0.00000  0.0000 -0.9239  0.0000 
O86   0.65637  0.00000  0.00000  0.0000  0.0000  0.0000 
O72   0.68762  0.50000  0.00000  0.0000  0.9239  0.0000 
O88   0.71887  0.00000  0.00000  0.0000 -0.7071  0.0000 
O74   0.75012  0.50000  0.00000  0.0000 -0.3827  0.0000 
O90   0.78137  0.00000  0.00000  0.0000  1.0000  0.0000 
O76   0.81262  0.50000  0.00000  0.0000 -0.3827  0.0000 
O92   0.84387  0.00000  0.00000  0.0000 -0.7071  0.0000 
O78   0.87512  0.50000  0.00000  0.0000  0.9239  0.0000 
O94   0.90637  0.00000  0.00000  0.0000  0.0000  0.0000 
O80   0.93762  0.50000  0.00000  0.0000 -0.9239  0.0000 
O96   0.96887  0.00000  0.00000  0.0000  0.7071  0.0000 
O65   0.00012  0.50000  0.00000  0.0000  0.3827  0.0000 
O81   0.03137  0.00000  0.00000  0.0000 -1.0000  0.0000 
O67   0.06262  0.50000  0.00000  0.0000  0.3827  0.0000 
O83   0.09387  0.00000  0.00000  0.0000  0.7071  0.0000 
O69   0.12512  0.50000  0.00000  0.0000 -0.9239  0.0000 
O24   0.17200  0.75000  0.50000  0.0000  0.0000  0.0000 
O56   0.20325  0.25000  0.50000  0.0000  0.0000  0.0000 
O26   0.23450  0.75000  0.50000  0.0000  0.0000  0.0000 
O58   0.26575  0.25000  0.50000  0.0000  0.0000  0.0000 
O28   0.29700  0.75000  0.50000  0.0000  0.0000  0.0000 
O60   0.32825  0.25000  0.50000  0.0000  0.0000  0.0000 
O30   0.35950  0.75000  0.50000  0.0000  0.0000  0.0000 
O62   0.39075  0.25000  0.50000  0.0000  0.0000  0.0000 
O32   0.42200  0.75000  0.50000  0.0000  0.0000  0.0000 
O64   0.45325  0.25000  0.50000  0.0000  0.0000  0.0000 
O2    0.48450  0.75000  0.50000  0.0000  0.0000  0.0000 
O34   0.51575  0.25000  0.50000  0.0000  0.0000  0.0000 
O4    0.54700  0.75000  0.50000  0.0000  0.0000  0.0000 
O36   0.57825  0.25000  0.50000  0.0000  0.0000  0.0000 
O6    0.60950  0.75000  0.50000  0.0000  0.0000  0.0000 
O38   0.64075  0.25000  0.50000  0.0000  0.0000  0.0000 
O8    0.67200  0.75000  0.50000  0.0000  0.0000  0.0000 
O40   0.70325  0.25000  0.50000  0.0000  0.0000  0.0000 
O10   0.73450  0.75000  0.50000  0.0000  0.0000  0.0000 
O42   0.76575  0.25000  0.50000  0.0000  0.0000  0.0000 
O12   0.79700  0.75000  0.50000  0.0000  0.0000  0.0000 
O44   0.82825  0.25000  0.50000  0.0000  0.0000  0.0000 
O14   0.85950  0.75000  0.50000  0.0000  0.0000  0.0000 
O46   0.89075  0.25000  0.50000  0.0000  0.0000  0.0000 
O16   0.92200  0.75000  0.50000  0.0000  0.0000  0.0000 
O48   0.95325  0.25000  0.50000  0.0000  0.0000  0.0000 
O18   0.98450  0.75000  0.50000  0.0000  0.0000  0.0000 
O50   0.01574  0.25000  0.50000  0.0000  0.0000  0.0000 
O20   0.04700  0.75000  0.50000  0.0000  0.0000  0.0000 
O52   0.07824  0.25000  0.50000  0.0000  0.0000  0.0000 
O22   0.10949  0.75000  0.50000  0.0000  0.0000  0.0000 
O54   0.14075  0.25000  0.50000  0.0000  0.0000  0.0000 

Pm-3m[5/16,5/16,0]SM2(0,0;a,b;0,0;0,0;0,0;0,0)[O1:c:dsp]Eu_2(b) normfactor =  0.04509
O37   0.14075  0.75000  0.50000  0.0000  0.0000  0.0000 
O7    0.17200  0.25000  0.50000  0.0000  0.0000  0.0000 
O39   0.20325  0.75000  0.50000  0.0000  0.0000  0.0000 
O9    0.23450  0.25000  0.50000  0.0000  0.0000  0.0000 
O41   0.26575  0.75000  0.50000  0.0000  0.0000  0.0000 
O11   0.29700  0.25000  0.50000  0.0000  0.0000  0.0000 
O43   0.32825  0.75000  0.50000  0.0000  0.0000  0.0000 
O13   0.35950  0.25000  0.50000  0.0000  0.0000  0.0000 
O45   0.39075  0.75000  0.50000  0.0000  0.0000  0.0000 
O15   0.42200  0.25000  0.50000  0.0000  0.0000  0.0000 
O47   0.45325  0.75000  0.50000  0.0000  0.0000  0.0000 
O17   0.48450  0.25000  0.50000  0.0000  0.0000  0.0000 
O49   0.51575  0.75000  0.50000  0.0000  0.0000  0.0000 
O19   0.54700  0.25000  0.50000  0.0000  0.0000  0.0000 
O51   0.57825  0.75000  0.50000  0.0000  0.0000  0.0000 
O21   0.60950  0.25000  0.50000  0.0000  0.0000  0.0000 
O53   0.64075  0.75000  0.50000  0.0000  0.0000  0.0000 
O23   0.67200  0.25000  0.50000  0.0000  0.0000  0.0000 
O55   0.70325  0.75000  0.50000  0.0000  0.0000  0.0000 
O25   0.73450  0.25000  0.50000  0.0000  0.0000  0.0000 
O57   0.76575  0.75000  0.50000  0.0000  0.0000  0.0000 
O27   0.79700  0.25000  0.50000  0.0000  0.0000  0.0000 
O59   0.82825  0.75000  0.50000  0.0000  0.0000  0.0000 
O29   0.85950  0.25000  0.50000  0.0000  0.0000  0.0000 
